Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081125.682790, 284.500, 4.872, 1386.056
1460081125.682990, 284.000, 4.872, 1383.620
1460081125.683190, 282.500, 4.872, 1376.312
1460081125.683390, 285.000, 4.872, 1388.492
1460081125.683590, 286.000, 4.872, 1393.363
1460081125.683790, 286.000, 4.872, 1393.363
1460081125.683990, 287.000, 4.872, 1398.235
1460081125.684190, 285.500, 4.872, 1390.927
1460081125.684390, 285.500, 4.872, 1390.927
1460081125.684590, 284.500, 4.872, 1386.056
1460081125.684790, 285.000, 4.872, 1388.492
1460081125.684990, 284.500, 4.872, 1386.056
1460081125.685190, 285.000, 4.872, 1388.492
1460081125.685390, 285.000, 4.872, 1388.492
1460081125.685590, 285.500, 4.872, 1390.927
1460081125.685790, 284.500, 4.872, 1386.056
1460081125.685990, 284.500, 4.872, 1386.056
1460081125.686190, 284.000, 4.872, 1383.620
1460081125.686390, 284.500, 4.872, 1386.056
1460081125.686590, 284.000, 4.872, 1383.620
1460081125.686790, 284.000, 4.872, 1383.620
1460081125.686990, 283.500, 4.872, 1381.184
1460081125.687190, 282.500, 4.872, 1376.312
1460081125.687390, 283.000, 4.872, 1378.748
1460081125.687590, 283.500, 4.872, 1381.184
1460081125.687790, 294.500, 4.872, 1434.775
1460081125.687990, 296.000, 4.872, 1442.082
1460081125.688190, 285.500, 4.872, 1390.927
1460081125.688390, 283.000, 4.872, 1378.748
1460081125.688590, 283.000, 4.872, 1378.748
1460081125.688790, 284.500, 4.872, 1386.056
1460081125.688990, 283.000, 4.872, 1378.748
1460081125.689190, 282.000, 4.872, 1373.876
1460081125.689390, 283.500, 4.872, 1381.184
1460081125.689590, 286.000, 4.872, 1393.363
1460081125.689790, 286.500, 4.872, 1395.799
1460081125.689990, 283.500, 4.872, 1381.184
1460081125.690190, 282.500, 4.872, 1376.312
1460081125.690390, 283.500, 4.872, 1381.184
1460081125.690590, 284.500, 4.872, 1386.056
1460081125.690790, 284.000, 4.872, 1383.620
1460081125.690990, 284.500, 4.872, 1386.056
1460081125.691190, 283.500, 4.872, 1381.184
1460081125.691390, 284.000, 4.872, 1383.620
1460081125.691590, 285.500, 4.872, 1390.927
1460081125.691790, 284.500, 4.872, 1386.056
1460081125.691990, 287.000, 4.872, 1398.235
1460081125.692190, 285.000, 4.872, 1388.492
1460081125.692390, 284.000, 4.872, 1383.620
1460081125.692590, 285.500, 4.872, 1390.927
1460081125.692790, 286.000, 4.872, 1393.363
1460081125.692990, 285.000, 4.872, 1388.492
1460081125.693190, 284.000, 4.872, 1383.620
1460081125.693390, 283.500, 4.872, 1381.184
1460081125.693590, 283.500, 4.872, 1381.184
1460081125.693790, 284.000, 4.872, 1383.620
1460081125.693990, 288.000, 4.872, 1403.107
1460081125.694190, 290.500, 4.872, 1415.287
1460081125.694390, 291.000, 4.872, 1417.723
1460081125.694590, 291.000, 4.872, 1417.723
1460081125.694790, 294.500, 4.872, 1434.775
1460081125.694990, 296.500, 4.872, 1444.518
1460081125.695190, 292.500, 4.872, 1425.031
1460081125.695390, 294.000, 4.872, 1432.339
1460081125.695590, 294.000, 4.872, 1432.339
1460081125.695790, 291.000, 4.872, 1417.723
1460081125.695990, 295.500, 4.872, 1439.646
1460081125.696190, 282.500, 4.872, 1376.312
1460081125.696390, 285.000, 4.872, 1388.492
1460081125.696590, 284.000, 4.872, 1383.620
1460081125.696790, 284.500, 4.872, 1386.056
1460081125.696990, 283.500, 4.872, 1381.184
1460081125.697190, 283.500, 4.872, 1381.184
1460081125.697390, 284.000, 4.872, 1383.620
1460081125.697590, 286.500, 4.872, 1395.799
1460081125.697790, 289.000, 4.872, 1407.979
1460081125.697990, 286.000, 4.872, 1393.363
1460081125.698190, 283.500, 4.872, 1381.184
1460081125.698390, 286.000, 4.872, 1393.363
1460081125.698590, 285.000, 4.872, 1388.492
1460081125.698790, 285.500, 4.872, 1390.927
1460081125.698990, 285.500, 4.872, 1390.927
1460081125.699190, 285.500, 4.872, 1390.927
1460081125.699390, 285.500, 4.872, 1390.927
1460081125.699590, 287.000, 4.872, 1398.235
1460081125.699790, 285.000, 4.872, 1388.492
1460081125.699990, 287.500, 4.872, 1400.671
1460081125.700190, 287.500, 4.872, 1400.671
1460081125.700390, 287.000, 4.872, 1398.235
1460081125.700590, 286.500, 4.872, 1395.799
1460081125.700790, 285.500, 4.872, 1390.927
1460081125.700990, 284.500, 4.872, 1386.056
1460081125.701190, 283.500, 4.872, 1381.184
1460081125.701390, 284.500, 4.872, 1386.056
1460081125.701590, 285.000, 4.872, 1388.492
1460081125.701790, 285.000, 4.872, 1388.492
1460081125.701990, 284.500, 4.872, 1386.056
1460081125.702190, 283.500, 4.872, 1381.184
1460081125.702390, 283.500, 4.872, 1381.184
